datetime,open,high,low,close,volume,atr,supertrend,trend,orb_high,orb_low,buy_signal,sell_signal
2026-03-18 03:45:00+00:00,23634.30078125,23726.0,23630.25,23721.900390625,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 03:50:00+00:00,23721.599609375,23738.44921875,23675.5,23676.150390625,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 03:55:00+00:00,23677.0,23724.150390625,23667.30078125,23715.30078125,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:00:00+00:00,23714.80078125,23735.05078125,23714.80078125,23725.30078125,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:05:00+00:00,23726.80078125,23729.349609375,23706.44921875,23708.05078125,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:10:00+00:00,23708.099609375,23731.099609375,23700.099609375,23721.75,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:15:00+00:00,23720.349609375,23733.94921875,23704.44921875,23732.19921875,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:20:00+00:00,23733.400390625,23754.349609375,23720.849609375,23724.349609375,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:25:00+00:00,23724.30078125,23725.19921875,23669.55078125,23691.25,0,,,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:30:00+00:00,23691.150390625,23695.650390625,23650.599609375,23657.05078125,0,45.33984375,23537.10546875,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:35:00+00:00,23658.05078125,23664.0,23643.30078125,23650.19921875,0,37.834765625,23540.14609375,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:40:00+00:00,23649.349609375,23666.30078125,23640.69921875,23664.30078125,0,34.1,23551.2,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:45:00+00:00,23664.94921875,23711.0,23664.650390625,23707.349609375,0,33.0849609375,23588.5703125,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:50:00+00:00,23707.69921875,23736.05078125,23701.349609375,23735.849609375,0,34.530078125,23615.1099609375,Bullish,23738.44921875,23630.25,False,False
2026-03-18 04:55:00+00:00,23734.900390625,23737.849609375,23716.69921875,23722.94921875,0,34.355078125,23624.2091796875,Bullish,23738.44921875,23630.25,False,False
2026-03-18 05:00:00+00:00,23721.650390625,23739.44921875,23713.44921875,23732.150390625,0,33.855078125,23624.883984375,Bullish,23738.44921875,23630.25,False,False
2026-03-18 05:05:00+00:00,23730.400390625,23746.0,23723.0,23731.5,0,33.205078125,23634.884765625,Bullish,23738.44921875,23630.25,False,False
2026-03-18 05:10:00+00:00,23730.55078125,23741.19921875,23718.30078125,23723.349609375,0,32.144921875,23634.884765625,Bullish,23738.44921875,23630.25,False,False
2026-03-18 05:15:00+00:00,23721.650390625,23760.19921875,23721.099609375,23759.849609375,0,30.4900390625,23649.179296875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:20:00+00:00,23759.55078125,23769.650390625,23752.650390625,23768.150390625,0,27.6849609375,23678.0955078125,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:25:00+00:00,23767.55078125,23777.900390625,23764.19921875,23770.599609375,0,26.98515625,23690.0943359375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:30:00+00:00,23770.80078125,23785.94921875,23764.150390625,23784.400390625,0,26.6048828125,23695.23515625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:35:00+00:00,23782.44921875,23784.19921875,23764.55078125,23777.150390625,0,23.919921875,23702.615234375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:40:00+00:00,23776.599609375,23790.75,23768.44921875,23785.30078125,0,22.6798828125,23711.5599609375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:45:00+00:00,23784.69921875,23787.05078125,23770.599609375,23787.05078125,0,22.2099609375,23712.1953125,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:50:00+00:00,23786.25,23800.849609375,23781.849609375,23798.19921875,0,21.5099609375,23726.8197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 05:55:00+00:00,23797.849609375,23805.80078125,23779.75,23799.599609375,0,21.8150390625,23727.3302734375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:00:00+00:00,23798.75,23804.349609375,23790.099609375,23791.650390625,0,20.9501953125,23734.3740234375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:05:00+00:00,23791.69921875,23814.849609375,23783.099609375,23812.94921875,0,20.215234375,23738.32890625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:10:00+00:00,23813.349609375,23835.099609375,23812.099609375,23817.94921875,0,20.815234375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:15:00+00:00,23816.900390625,23820.400390625,23804.150390625,23804.150390625,0,21.0701171875,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:20:00+00:00,23804.30078125,23822.5,23803.55078125,23820.55078125,0,20.78515625,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:25:00+00:00,23820.150390625,23821.30078125,23806.30078125,23806.30078125,0,20.3001953125,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:30:00+00:00,23806.650390625,23810.80078125,23787.0,23793.30078125,0,20.4501953125,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:35:00+00:00,23793.44921875,23797.19921875,23777.75,23779.599609375,0,20.75,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:40:00+00:00,23779.05078125,23789.55078125,23772.150390625,23779.650390625,0,20.5900390625,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:45:00+00:00,23779.19921875,23787.69921875,23775.150390625,23786.44921875,0,19.23984375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:50:00+00:00,23785.69921875,23788.80078125,23769.400390625,23781.44921875,0,19.7548828125,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 06:55:00+00:00,23781.599609375,23784.19921875,23760.900390625,23767.0,0,18.909765625,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:00:00+00:00,23767.150390625,23789.94921875,23767.150390625,23780.849609375,0,18.9046875,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:05:00+00:00,23780.19921875,23788.80078125,23765.30078125,23772.599609375,0,19.6296875,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:10:00+00:00,23772.599609375,23778.19921875,23762.400390625,23778.19921875,0,19.3146484375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:15:00+00:00,23777.69921875,23785.75,23764.94921875,23785.75,0,19.8947265625,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:20:00+00:00,23785.44921875,23794.5,23768.349609375,23772.44921875,0,20.1296875,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:25:00+00:00,23771.599609375,23781.150390625,23765.75,23775.900390625,0,19.7248046875,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:30:00+00:00,23775.150390625,23798.19921875,23775.150390625,23796.150390625,0,20.2896484375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:35:00+00:00,23796.44921875,23797.599609375,23766.400390625,23777.849609375,0,22.1546875,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:40:00+00:00,23776.5,23803.19921875,23774.69921875,23803.19921875,0,23.0646484375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:45:00+00:00,23802.400390625,23810.19921875,23792.400390625,23796.599609375,0,22.5146484375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:50:00+00:00,23798.0,23829.25,23797.25,23828.69921875,0,23.484765625,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 07:55:00+00:00,23828.19921875,23836.650390625,23810.349609375,23824.349609375,0,23.76484375,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:00:00+00:00,23823.849609375,23837.400390625,23816.0,23833.150390625,0,24.325,23761.15390625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:05:00+00:00,23834.94921875,23843.25,23824.150390625,23841.400390625,0,24.1548828125,23761.235546875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:10:00+00:00,23840.5,23844.400390625,23829.650390625,23844.400390625,0,23.01484375,23767.980859375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:15:00+00:00,23845.44921875,23845.44921875,23824.150390625,23829.44921875,0,23.6046875,23767.980859375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:20:00+00:00,23828.150390625,23850.55078125,23819.05078125,23845.80078125,0,24.4498046875,23767.980859375,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:25:00+00:00,23844.599609375,23858.75,23831.19921875,23833.650390625,0,24.0849609375,23772.7197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:30:00+00:00,23832.5,23851.5,23820.849609375,23826.75,0,24.3,23772.7197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:35:00+00:00,23827.349609375,23830.25,23812.94921875,23828.0,0,24.2501953125,23772.7197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:40:00+00:00,23827.5,23836.05078125,23809.599609375,23817.650390625,0,23.6302734375,23772.7197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:45:00+00:00,23817.5,23845.599609375,23811.099609375,23839.349609375,0,24.4501953125,23772.7197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:50:00+00:00,23839.849609375,23852.599609375,23833.150390625,23849.19921875,0,24.255078125,23772.7197265625,Bullish,23738.44921875,23630.25,True,False
2026-03-18 08:55:00+00:00,23848.69921875,23861.80078125,23835.25,23835.25,0,25.0001953125,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:00:00+00:00,23836.44921875,23840.05078125,23795.80078125,23796.150390625,0,27.9501953125,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:05:00+00:00,23795.900390625,23805.69921875,23786.94921875,23801.150390625,0,27.6953125,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:10:00+00:00,23801.5,23811.400390625,23779.69921875,23780.599609375,0,27.7154296875,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:15:00+00:00,23780.55078125,23802.55078125,23775.55078125,23799.05078125,0,27.6603515625,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:20:00+00:00,23798.599609375,23808.349609375,23780.599609375,23783.75,0,27.3703125,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:25:00+00:00,23785.55078125,23804.0,23781.849609375,23801.80078125,0,27.8552734375,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:30:00+00:00,23801.650390625,23809.80078125,23766.900390625,23804.69921875,0,29.5001953125,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:35:00+00:00,23803.55078125,23806.0,23792.900390625,23795.25,0,27.36015625,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:40:00+00:00,23795.900390625,23798.55078125,23789.0,23792.55078125,0,26.3703125,23773.5248046875,Bullish,23738.44921875,23630.25,True,False
2026-03-18 09:45:00+00:00,23792.349609375,23792.900390625,23766.150390625,23766.80078125,0,26.390234375,23858.69609375,Bearish,23738.44921875,23630.25,False,False
2026-03-18 09:50:00+00:00,23767.44921875,23768.099609375,23730.650390625,23751.25,0,25.71015625,23826.50546875,Bearish,23738.44921875,23630.25,False,False
2026-03-18 09:55:00+00:00,23750.94921875,23770.05078125,23750.05078125,23764.099609375,0,25.83515625,23826.50546875,Bearish,23738.44921875,23630.25,False,False
2026-03-19 03:45:00+00:00,23209.099609375,23371.75,23209.099609375,23289.5,0,78.1650390625,23524.919921875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 03:50:00+00:00,23289.69921875,23345.150390625,23276.80078125,23345.150390625,0,82.3,23524.919921875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 03:55:00+00:00,23345.44921875,23352.5,23316.05078125,23316.05078125,0,83.169921875,23524.919921875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:00:00+00:00,23317.19921875,23325.599609375,23296.69921875,23301.0,0,83.844921875,23524.919921875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:05:00+00:00,23299.69921875,23306.80078125,23255.5,23257.25,0,84.6849609375,23524.919921875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:10:00+00:00,23261.099609375,23281.650390625,23255.69921875,23271.0,0,85.9701171875,23524.919921875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:15:00+00:00,23269.599609375,23273.349609375,23226.75,23238.30078125,0,89.675,23519.0748046875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:20:00+00:00,23235.900390625,23263.650390625,23231.19921875,23239.25,0,90.2451171875,23518.16015625,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:25:00+00:00,23239.150390625,23260.30078125,23229.349609375,23242.69921875,0,89.5953125,23513.6111328125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:30:00+00:00,23241.94921875,23269.94921875,23230.44921875,23264.849609375,0,91.5453125,23513.6111328125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:35:00+00:00,23264.900390625,23268.349609375,23247.599609375,23261.19921875,0,38.1203125,23372.335546875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:40:00+00:00,23260.5,23260.849609375,23235.69921875,23236.650390625,0,33.8353515625,23349.78046875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:45:00+00:00,23234.75,23234.94921875,23204.05078125,23217.0,0,33.450390625,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:50:00+00:00,23216.94921875,23260.0,23214.75,23260.0,0,35.0853515625,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 04:55:00+00:00,23258.44921875,23283.94921875,23257.94921875,23272.400390625,0,32.5552734375,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:00:00+00:00,23272.400390625,23287.150390625,23272.400390625,23274.150390625,0,31.43515625,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:05:00+00:00,23275.19921875,23317.80078125,23271.69921875,23311.599609375,0,31.3853515625,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:10:00+00:00,23313.349609375,23316.30078125,23287.30078125,23311.69921875,0,31.040234375,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:15:00+00:00,23312.599609375,23312.599609375,23275.05078125,23276.75,0,31.7,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:20:00+00:00,23276.75,23291.25,23272.599609375,23287.5,0,29.6150390625,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:25:00+00:00,23286.400390625,23291.69921875,23258.30078125,23260.44921875,0,30.8798828125,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:30:00+00:00,23260.650390625,23264.650390625,23244.650390625,23250.099609375,0,30.3298828125,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:35:00+00:00,23251.05078125,23259.25,23238.55078125,23239.400390625,0,29.13984375,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:40:00+00:00,23241.44921875,23254.94921875,23217.099609375,23220.94921875,0,28.3998046875,23319.851171875,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:45:00+00:00,23221.349609375,23228.900390625,23207.55078125,23218.69921875,0,27.934765625,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:50:00+00:00,23219.55078125,23253.599609375,23214.94921875,23246.44921875,0,30.3248046875,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 05:55:00+00:00,23244.900390625,23246.0,23224.44921875,23228.05078125,0,27.9146484375,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:00:00+00:00,23227.349609375,23250.099609375,23225.55078125,23248.900390625,0,27.46953125,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:05:00+00:00,23246.75,23253.849609375,23237.650390625,23240.599609375,0,25.3345703125,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:10:00+00:00,23240.349609375,23246.75,23229.19921875,23241.650390625,0,25.224609375,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:15:00+00:00,23241.599609375,23260.0,23236.94921875,23246.19921875,0,24.18984375,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:20:00+00:00,23246.44921875,23256.80078125,23242.44921875,23245.900390625,0,23.625,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:25:00+00:00,23245.599609375,23248.0,23236.19921875,23241.05078125,0,22.73515625,23302.0298828125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:30:00+00:00,23241.900390625,23245.150390625,23226.349609375,23231.599609375,0,20.8302734375,23298.2408203125,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:35:00+00:00,23232.650390625,23240.80078125,23217.849609375,23234.0,0,20.9904296875,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:40:00+00:00,23231.900390625,23268.75,23226.900390625,23265.5,0,21.3103515625,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:45:00+00:00,23265.5,23281.19921875,23257.099609375,23276.75,0,21.5203125,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:50:00+00:00,23276.099609375,23276.30078125,23238.94921875,23245.94921875,0,22.8455078125,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 06:55:00+00:00,23244.94921875,23257.94921875,23240.94921875,23254.849609375,0,22.9255859375,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:00:00+00:00,23254.900390625,23264.69921875,23235.849609375,23248.94921875,0,24.05546875,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:05:00+00:00,23249.05078125,23261.150390625,23244.25,23253.44921875,0,23.4404296875,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:10:00+00:00,23253.349609375,23255.099609375,23229.30078125,23235.650390625,0,24.58515625,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:15:00+00:00,23234.849609375,23274.900390625,23233.80078125,23270.19921875,0,27.5150390625,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:20:00+00:00,23271.5,23274.94921875,23253.400390625,23273.849609375,0,27.78984375,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:25:00+00:00,23274.599609375,23277.30078125,23257.44921875,23264.650390625,0,27.4798828125,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:30:00+00:00,23265.349609375,23265.599609375,23235.599609375,23238.900390625,0,26.294921875,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:35:00+00:00,23238.69921875,23243.900390625,23226.150390625,23234.150390625,0,25.6599609375,23292.296484375,Bearish,23371.75,23209.099609375,False,False
2026-03-19 07:40:00+00:00,23233.599609375,23255.05078125,23194.69921875,23200.25,0,27.9150390625,23292.296484375,Bearish,23371.75,23209.099609375,False,True
2026-03-19 07:45:00+00:00,23200.349609375,23208.69921875,23194.849609375,23200.900390625,0,27.6,23284.5744140625,Bearish,23371.75,23209.099609375,False,True
2026-03-19 07:50:00+00:00,23200.69921875,23206.099609375,23181.80078125,23182.75,0,27.144921875,23275.3849609375,Bearish,23371.75,23209.099609375,False,True
2026-03-19 07:55:00+00:00,23183.69921875,23195.69921875,23172.55078125,23176.650390625,0,27.7697265625,23267.4341796875,Bearish,23371.75,23209.099609375,False,True
2026-03-19 08:00:00+00:00,23176.69921875,23194.94921875,23174.900390625,23175.849609375,0,27.1947265625,23266.508984375,Bearish,23371.75,23209.099609375,False,True
2026-03-19 08:05:00+00:00,23177.44921875,23204.5,23173.80078125,23204.5,0,26.1546875,23266.508984375,Bearish,23371.75,23209.099609375,False,True
2026-03-19 08:10:00+00:00,23205.19921875,23217.849609375,23198.30078125,23199.150390625,0,25.9546875,23266.508984375,Bearish,23371.75,23209.099609375,False,True
2026-03-19 08:15:00+00:00,23198.55078125,23203.75,23182.900390625,23190.849609375,0,26.0544921875,23266.508984375,Bearish,23371.75,23209.099609375,False,True
2026-03-19 08:20:00+00:00,23190.25,23199.5,23185.349609375,23198.30078125,0,24.46953125,23265.8333984375,Bearish,23371.75,23209.099609375,False,True
