date,time,open,high,low,close,volume,atr,supertrend,trend,orb_high,orb_low,buy_signal,sell_signal
18-03-2026,09:15:00,23634.30078,23726,23630.25,23721.90039,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:20:00,23721.59961,23738.44922,23675.5,23676.15039,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:25:00,23677,23724.15039,23667.30078,23715.30078,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:30:00,23714.80078,23735.05078,23714.80078,23725.30078,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:35:00,23726.80078,23729.34961,23706.44922,23708.05078,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:40:00,23708.09961,23731.09961,23700.09961,23721.75,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:45:00,23720.34961,23733.94922,23704.44922,23732.19922,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:50:00,23733.40039,23754.34961,23720.84961,23724.34961,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,09:55:00,23724.30078,23725.19922,23669.55078,23691.25,0,,,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:00:00,23691.15039,23695.65039,23650.59961,23657.05078,0,45.33984375,23537.10547,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:05:00,23658.05078,23664,23643.30078,23650.19922,0,37.83476563,23540.14609,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:10:00,23649.34961,23666.30078,23640.69922,23664.30078,0,34.1,23551.2,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:15:00,23664.94922,23711,23664.65039,23707.34961,0,33.08496094,23588.57031,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:20:00,23707.69922,23736.05078,23701.34961,23735.84961,0,34.53007813,23615.10996,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:25:00,23734.90039,23737.84961,23716.69922,23722.94922,0,34.35507813,23624.20918,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:30:00,23721.65039,23739.44922,23713.44922,23732.15039,0,33.85507813,23624.88398,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:35:00,23730.40039,23746,23723,23731.5,0,33.20507813,23634.88477,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:40:00,23730.55078,23741.19922,23718.30078,23723.34961,0,32.14492188,23634.88477,Bullish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,10:45:00,23721.65039,23760.19922,23721.09961,23759.84961,0,30.49003906,23649.1793,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,10:50:00,23759.55078,23769.65039,23752.65039,23768.15039,0,27.68496094,23678.09551,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,10:55:00,23767.55078,23777.90039,23764.19922,23770.59961,0,26.98515625,23690.09434,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:00:00,23770.80078,23785.94922,23764.15039,23784.40039,0,26.60488281,23695.23516,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:05:00,23782.44922,23784.19922,23764.55078,23777.15039,0,23.91992188,23702.61523,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:10:00,23776.59961,23790.75,23768.44922,23785.30078,0,22.67988281,23711.55996,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:15:00,23784.69922,23787.05078,23770.59961,23787.05078,0,22.20996094,23712.19531,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:20:00,23786.25,23800.84961,23781.84961,23798.19922,0,21.50996094,23726.81973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:25:00,23797.84961,23805.80078,23779.75,23799.59961,0,21.81503906,23727.33027,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:30:00,23798.75,23804.34961,23790.09961,23791.65039,0,20.95019531,23734.37402,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:35:00,23791.69922,23814.84961,23783.09961,23812.94922,0,20.21523438,23738.32891,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:40:00,23813.34961,23835.09961,23812.09961,23817.94922,0,20.81523438,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:45:00,23816.90039,23820.40039,23804.15039,23804.15039,0,21.07011719,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:50:00,23804.30078,23822.5,23803.55078,23820.55078,0,20.78515625,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,11:55:00,23820.15039,23821.30078,23806.30078,23806.30078,0,20.30019531,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:00:00,23806.65039,23810.80078,23787,23793.30078,0,20.45019531,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:05:00,23793.44922,23797.19922,23777.75,23779.59961,0,20.75,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:10:00,23779.05078,23789.55078,23772.15039,23779.65039,0,20.59003906,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:15:00,23779.19922,23787.69922,23775.15039,23786.44922,0,19.23984375,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:20:00,23785.69922,23788.80078,23769.40039,23781.44922,0,19.75488281,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:25:00,23781.59961,23784.19922,23760.90039,23767,0,18.90976563,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:30:00,23767.15039,23789.94922,23767.15039,23780.84961,0,18.9046875,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:35:00,23780.19922,23788.80078,23765.30078,23772.59961,0,19.6296875,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:40:00,23772.59961,23778.19922,23762.40039,23778.19922,0,19.31464844,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:45:00,23777.69922,23785.75,23764.94922,23785.75,0,19.89472656,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:50:00,23785.44922,23794.5,23768.34961,23772.44922,0,20.1296875,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,12:55:00,23771.59961,23781.15039,23765.75,23775.90039,0,19.72480469,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:00:00,23775.15039,23798.19922,23775.15039,23796.15039,0,20.28964844,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:05:00,23796.44922,23797.59961,23766.40039,23777.84961,0,22.1546875,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:10:00,23776.5,23803.19922,23774.69922,23803.19922,0,23.06464844,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:15:00,23802.40039,23810.19922,23792.40039,23796.59961,0,22.51464844,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:20:00,23798,23829.25,23797.25,23828.69922,0,23.48476563,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:25:00,23828.19922,23836.65039,23810.34961,23824.34961,0,23.76484375,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:30:00,23823.84961,23837.40039,23816,23833.15039,0,24.325,23761.15391,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:35:00,23834.94922,23843.25,23824.15039,23841.40039,0,24.15488281,23761.23555,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:40:00,23840.5,23844.40039,23829.65039,23844.40039,0,23.01484375,23767.98086,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:45:00,23845.44922,23845.44922,23824.15039,23829.44922,0,23.6046875,23767.98086,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:50:00,23828.15039,23850.55078,23819.05078,23845.80078,0,24.44980469,23767.98086,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,13:55:00,23844.59961,23858.75,23831.19922,23833.65039,0,24.08496094,23772.71973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:00:00,23832.5,23851.5,23820.84961,23826.75,0,24.3,23772.71973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:05:00,23827.34961,23830.25,23812.94922,23828,0,24.25019531,23772.71973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:10:00,23827.5,23836.05078,23809.59961,23817.65039,0,23.63027344,23772.71973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:15:00,23817.5,23845.59961,23811.09961,23839.34961,0,24.45019531,23772.71973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:20:00,23839.84961,23852.59961,23833.15039,23849.19922,0,24.25507813,23772.71973,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:25:00,23848.69922,23861.80078,23835.25,23835.25,0,25.00019531,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:30:00,23836.44922,23840.05078,23795.80078,23796.15039,0,27.95019531,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:35:00,23795.90039,23805.69922,23786.94922,23801.15039,0,27.6953125,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:40:00,23801.5,23811.40039,23779.69922,23780.59961,0,27.71542969,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:45:00,23780.55078,23802.55078,23775.55078,23799.05078,0,27.66035156,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:50:00,23798.59961,23808.34961,23780.59961,23783.75,0,27.3703125,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,14:55:00,23785.55078,23804,23781.84961,23801.80078,0,27.85527344,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,15:00:00,23801.65039,23809.80078,23766.90039,23804.69922,0,29.50019531,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,15:05:00,23803.55078,23806,23792.90039,23795.25,0,27.36015625,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,15:10:00,23795.90039,23798.55078,23789,23792.55078,0,26.3703125,23773.5248,Bullish,23738.44922,23630.25,TRUE,FALSE
18-03-2026,15:15:00,23792.34961,23792.90039,23766.15039,23766.80078,0,26.39023438,23858.69609,Bearish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,15:20:00,23767.44922,23768.09961,23730.65039,23751.25,0,25.71015625,23826.50547,Bearish,23738.44922,23630.25,FALSE,FALSE
18-03-2026,15:25:00,23750.94922,23770.05078,23750.05078,23764.09961,0,25.83515625,23826.50547,Bearish,23738.44922,23630.25,FALSE,FALSE
19-03-2026,09:15:00,23209.09961,23371.75,23209.09961,23289.5,0,78.16503906,23524.91992,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:20:00,23289.69922,23345.15039,23276.80078,23345.15039,0,82.3,23524.91992,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:25:00,23345.44922,23352.5,23316.05078,23316.05078,0,83.16992188,23524.91992,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:30:00,23317.19922,23325.59961,23296.69922,23301,0,83.84492188,23524.91992,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:35:00,23299.69922,23306.80078,23255.5,23257.25,0,84.68496094,23524.91992,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:40:00,23261.09961,23281.65039,23255.69922,23271,0,85.97011719,23524.91992,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:45:00,23269.59961,23273.34961,23226.75,23238.30078,0,89.675,23519.0748,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:50:00,23235.90039,23263.65039,23231.19922,23239.25,0,90.24511719,23518.16016,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,09:55:00,23239.15039,23260.30078,23229.34961,23242.69922,0,89.5953125,23513.61113,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:00:00,23241.94922,23269.94922,23230.44922,23264.84961,0,91.5453125,23513.61113,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:05:00,23264.90039,23268.34961,23247.59961,23261.19922,0,38.1203125,23372.33555,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:10:00,23260.5,23260.84961,23235.69922,23236.65039,0,33.83535156,23349.78047,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:15:00,23234.75,23234.94922,23204.05078,23217,0,33.45039063,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:20:00,23216.94922,23260,23214.75,23260,0,35.08535156,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:25:00,23258.44922,23283.94922,23257.94922,23272.40039,0,32.55527344,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:30:00,23272.40039,23287.15039,23272.40039,23274.15039,0,31.43515625,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:35:00,23275.19922,23317.80078,23271.69922,23311.59961,0,31.38535156,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:40:00,23313.34961,23316.30078,23287.30078,23311.69922,0,31.04023438,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:45:00,23312.59961,23312.59961,23275.05078,23276.75,0,31.7,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:50:00,23276.75,23291.25,23272.59961,23287.5,0,29.61503906,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,10:55:00,23286.40039,23291.69922,23258.30078,23260.44922,0,30.87988281,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:00:00,23260.65039,23264.65039,23244.65039,23250.09961,0,30.32988281,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:05:00,23251.05078,23259.25,23238.55078,23239.40039,0,29.13984375,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:10:00,23241.44922,23254.94922,23217.09961,23220.94922,0,28.39980469,23319.85117,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:15:00,23221.34961,23228.90039,23207.55078,23218.69922,0,27.93476563,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:20:00,23219.55078,23253.59961,23214.94922,23246.44922,0,30.32480469,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:25:00,23244.90039,23246,23224.44922,23228.05078,0,27.91464844,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:30:00,23227.34961,23250.09961,23225.55078,23248.90039,0,27.46953125,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:35:00,23246.75,23253.84961,23237.65039,23240.59961,0,25.33457031,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:40:00,23240.34961,23246.75,23229.19922,23241.65039,0,25.22460938,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:45:00,23241.59961,23260,23236.94922,23246.19922,0,24.18984375,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:50:00,23246.44922,23256.80078,23242.44922,23245.90039,0,23.625,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,11:55:00,23245.59961,23248,23236.19922,23241.05078,0,22.73515625,23302.02988,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:00:00,23241.90039,23245.15039,23226.34961,23231.59961,0,20.83027344,23298.24082,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:05:00,23232.65039,23240.80078,23217.84961,23234,0,20.99042969,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:10:00,23231.90039,23268.75,23226.90039,23265.5,0,21.31035156,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:15:00,23265.5,23281.19922,23257.09961,23276.75,0,21.5203125,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:20:00,23276.09961,23276.30078,23238.94922,23245.94922,0,22.84550781,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:25:00,23244.94922,23257.94922,23240.94922,23254.84961,0,22.92558594,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:30:00,23254.90039,23264.69922,23235.84961,23248.94922,0,24.05546875,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:35:00,23249.05078,23261.15039,23244.25,23253.44922,0,23.44042969,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:40:00,23253.34961,23255.09961,23229.30078,23235.65039,0,24.58515625,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:45:00,23234.84961,23274.90039,23233.80078,23270.19922,0,27.51503906,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:50:00,23271.5,23274.94922,23253.40039,23273.84961,0,27.78984375,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,12:55:00,23274.59961,23277.30078,23257.44922,23264.65039,0,27.47988281,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,13:00:00,23265.34961,23265.59961,23235.59961,23238.90039,0,26.29492188,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,13:05:00,23238.69922,23243.90039,23226.15039,23234.15039,0,25.65996094,23292.29648,Bearish,23371.75,23209.09961,FALSE,FALSE
19-03-2026,13:10:00,23233.59961,23255.05078,23194.69922,23200.25,0,27.91503906,23292.29648,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:15:00,23200.34961,23208.69922,23194.84961,23200.90039,0,27.6,23284.57441,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:20:00,23200.69922,23206.09961,23181.80078,23182.75,0,27.14492188,23275.38496,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:25:00,23183.69922,23195.69922,23172.55078,23176.65039,0,27.76972656,23267.43418,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:30:00,23176.69922,23194.94922,23174.90039,23175.84961,0,27.19472656,23266.50898,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:35:00,23177.44922,23204.5,23173.80078,23204.5,0,26.1546875,23266.50898,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:40:00,23205.19922,23217.84961,23198.30078,23199.15039,0,25.9546875,23266.50898,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:45:00,23198.55078,23203.75,23182.90039,23190.84961,0,26.05449219,23266.50898,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:50:00,23190.25,23199.5,23185.34961,23198.30078,0,24.46953125,23265.8334,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,13:55:00,23197.75,23200.5,23156.90039,23163.05078,0,27.05449219,23259.86367,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:00:00,23163.30078,23171.80078,23123.65039,23128.05078,0,25.834375,23225.22871,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:05:00,23129.09961,23132.5,23106.55078,23107.25,0,27.04433594,23200.6584,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:10:00,23106.44922,23113.84961,23088.94922,23111.30078,0,27.10449219,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:15:00,23111.55078,23137.05078,23108.05078,23128.75,0,27.68964844,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:20:00,23129,23133.44922,23109.30078,23127.90039,0,28.09960938,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:25:00,23128.19922,23129.80078,23096.90039,23100.65039,0,28.31972656,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:30:00,23101.09961,23121.40039,23097.94922,23117.15039,0,28.70996094,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:35:00,23116.59961,23127.55078,23097.55078,23098.90039,0,29.625,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:40:00,23098.19922,23115.59961,23084.65039,23110.69922,0,31.30488281,23182.71289,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:45:00,23110.55078,23111.55078,23053.25,23064,0,32.775,23180.72539,Bearish,23371.75,23209.09961,FALSE,TRUE
19-03-2026,14:50:00,23062.15039,23064.80078,23027.59961,23033.5,0,31.68007813,23141.24043,Bearish,23371.75,23209.09961,FALSE,TRUE
